epoch,train_loss,train_accuracy,test_accuracy
1,1.9816624075174332,77.6289307719135,66.73012090211579
2,1.4037210643291473,77.6289307719135,66.73012090211579
3,1.1849039681255817,77.6289307719135,66.73012090211579
4,1.1392445117235184,77.6289307719135,66.73012090211579
5,1.126542180776596,77.6289307719135,66.73012090211579
6,1.119073249399662,77.6289307719135,66.73012090211579
7,1.1125893369317055,77.6289307719135,66.73012090211579
8,1.1063137166202068,77.6289307719135,66.73012090211579
9,1.1004739217460155,77.6289307719135,66.73012090211579
10,1.0959745533764362,77.6289307719135,66.73012090211579
11,1.0911907032132149,77.6289307719135,66.73012090211579
12,1.0867956541478634,77.6289307719135,66.73012090211579
13,1.082564141601324,77.6289307719135,66.73012090211579
14,1.078433956950903,77.6289307719135,66.73012090211579
15,1.0745399668812752,77.6289307719135,66.73012090211579
16,1.070757295936346,77.6289307719135,66.73012090211579
17,1.0668029934167862,77.6289307719135,66.73012090211579
18,1.063093800097704,77.6289307719135,66.73012090211579
19,1.0598867051303387,77.6289307719135,66.73012090211579
20,1.0560482032597065,77.6289307719135,66.73012090211579
21,1.0534774474799633,77.6289307719135,66.73012090211579
22,1.050389003008604,77.6289307719135,66.73012090211579
23,1.047168280929327,77.6289307719135,66.73012090211579
24,1.0435231067240238,77.6289307719135,66.73012090211579
25,1.0409274958074093,77.6289307719135,66.73012090211579
26,1.0379257947206497,77.6289307719135,66.73012090211579
27,1.0347872786223888,77.6289307719135,66.73012090211579
28,1.0316214356571436,77.6289307719135,66.73012090211579
29,1.0293190106749535,77.6289307719135,66.73012090211579
30,1.0262598246335983,77.6289307719135,66.73012090211579
31,1.0235883072018623,77.6289307719135,66.73012090211579
32,1.0210021957755089,77.6289307719135,66.73012090211579
33,1.0183302517980337,77.6289307719135,66.73012090211579
34,1.0155991911888123,77.6289307719135,66.73012090211579
35,1.012988056987524,77.6289307719135,66.73012090211579
36,1.0105831120163202,77.6289307719135,66.73012090211579
37,1.0080658085644245,77.6289307719135,66.73012090211579
38,1.005651030689478,77.6289307719135,66.73012090211579
39,1.0031841322779655,77.6289307719135,66.73012090211579
